date,patch,team_1,team_2,winner_team,bans,picks,team_player,players
2022-10-08,12.18,Fnatic,T1,Fnatic,Fiora,Poppy,Fnatic,Razork
2022-10-08,12.18,T1,EDward Gaming,T1,Maokai,Lee Sin,T1,Oner
2022-10-31,12.18,Gen.G,DRX,DRX,Aatrox,Ryze,Gen.G,Chovy
2022-10-30,12.18,Gen.G,DRX,DRX,Aatrox,Azir,Gen.G,Chovy
2022-10-30,12.18,DRX,Gen.G,DRX,Ryze,Ahri,DRX,Zeka
2022-10-30,12.18,Gen.G,DRX,Gen.G,Aatrox,Sylas,Gen.G,Chovy
2022-10-24,12.18,EDward Gaming,DRX,DRX,Caitlyn,Akali,EDward Gaming,Scout
2022-10-24,12.18,EDward Gaming,DRX,DRX,Caitlyn,LeBlanc,EDward Gaming,Scout
2022-10-23,12.18,DRX,EDward Gaming,DRX,Sejuani,Sylas,DRX,Zeka
2022-10-23,12.18,DRX,EDward Gaming,EDward Gaming,Renekton,Akali,DRX,Zeka
2022-10-23,12.18,DRX,EDward Gaming,EDward Gaming,Sejuani,Orianna,DRX,Zeka
2022-10-16,12.18,DRX,Rogue (European Team),DRX,Maokai,Sylas,DRX,Zeka
2022-10-16,12.18,Top Esports,DRX,Top Esports,Aatrox,Sylas,Top Esports,knight
2022-10-15,12.18,DRX,GAM Esports,DRX,Yuumi,Sylas,DRX,Zeka
2022-10-15,12.18,DRX,Rogue (European Team),DRX,Maokai,Akali,DRX,Zeka
2022-10-11,12.18,GAM Esports,DRX,DRX,Maokai,Taliyah,GAM Esports,Kati
2022-10-10,12.18,DRX,Top Esports,DRX,Renekton,Sylas,DRX,Zeka
2022-10-08,12.18,Rogue (European Team),DRX,Rogue (European Team),Kalista,Azir,Rogue (European Team),Larssen
2022-10-03,12.18,DRX,MAD Lions,DRX,Taliyah,Sylas,DRX,Zeka
2022-10-02,12.18,Isurus,DRX,DRX,Aatrox,Azir,Isurus,seiya
2022-10-01,12.18,Istanbul Wildcats,DRX,DRX,Caitlyn,Azir,Istanbul Wildcats,Serin
2022-10-01,12.18,DRX,Saigon Buffalo,DRX,Aphelios,Azir,DRX,Zeka
2022-09-30,12.18,DRX,Royal Never Give Up,DRX,Taliyah,Akali,DRX,Zeka
2022-10-30,12.18,JD Gaming,T1,T1,Lucian,Sylas,JD Gaming,Yagao
2022-10-29,12.18,JD Gaming,T1,T1,Sejuani,Azir,JD Gaming,Yagao
2022-10-29,12.18,T1,JD Gaming,T1,Aatrox,Ryze,T1,Faker
2022-10-29,12.18,T1,JD Gaming,JD Gaming,Aatrox,Galio,T1,Faker
2022-10-21,12.18,Royal Never Give Up,T1,T1,Camille,Sylas,Royal Never Give Up,Xiaohu
2022-10-21,12.18,Royal Never Give Up,T1,T1,LeBlanc,Sylas,Royal Never Give Up,Xiaohu
2022-10-21,12.18,T1,Royal Never Give Up,T1,Jax,Viktor,T1,Faker
2022-10-13,12.18,EDward Gaming,T1,T1,Poppy,Lissandra,EDward Gaming,Scout
2022-10-13,12.18,T1,Cloud9,T1,Renata Glasc,Sylas,T1,Faker
2022-10-13,12.18,T1,Fnatic,T1,Renata Glasc,Sylas,T1,Faker
2022-10-10,12.18,Cloud9,T1,T1,Graves,Azir,Cloud9,Jensen
2022-10-08,12.18,Fnatic,T1,Fnatic,LeBlanc,Azir,Fnatic,Humanoid
2022-10-08,12.18,T1,EDward Gaming,T1,Graves,Akali,T1,Faker
2022-10-31,12.18,Gen.G,DRX,DRX,Renata Glasc,Xayah,Gen.G,Ruler
2022-10-30,12.18,Gen.G,DRX,DRX,Camille,Ezreal,Gen.G,Ruler
2022-10-30,12.18,DRX,Gen.G,DRX,Gnar,Caitlyn,DRX,Deft
2022-10-30,12.18,Gen.G,DRX,Gen.G,Ashe,Varus,Gen.G,Ruler
2022-10-24,12.18,EDward Gaming,DRX,DRX,Kalista,Aphelios,EDward Gaming,Viper
2022-10-24,12.18,EDward Gaming,DRX,DRX,Heimerdinger,Varus,EDward Gaming,Viper
2022-10-23,12.18,DRX,EDward Gaming,DRX,Aphelios,Draven,DRX,Deft
2022-10-23,12.18,DRX,EDward Gaming,EDward Gaming,Kai'Sa,Ezreal,DRX,Deft
2022-10-23,12.18,DRX,EDward Gaming,EDward Gaming,Varus,Ashe,DRX,Deft
2022-10-16,12.18,DRX,Rogue (European Team),DRX,Renekton,Caitlyn,DRX,Deft
2022-10-16,12.18,Top Esports,DRX,Top Esports,Renata Glasc,Lucian,Top Esports,JackeyLove
2022-10-15,12.18,DRX,GAM Esports,DRX,Lee Sin,Ashe,DRX,Deft
2022-10-15,12.18,DRX,Rogue (European Team),DRX,Rakan,Ashe,DRX,Deft
2022-10-11,12.18,GAM Esports,DRX,DRX,Renata Glasc,Kai'Sa,GAM Esports,Sty1e
2022-10-10,12.18,DRX,Top Esports,DRX,Viego,Caitlyn,DRX,Deft
2022-10-08,12.18,Rogue (European Team),DRX,Rogue (European Team),Fiora,Lucian,Rogue (European Team),Comp
2022-10-03,12.18,DRX,MAD Lions,DRX,Renekton,Sivir,DRX,Deft
2022-10-02,12.18,Isurus,DRX,DRX,Mordekaiser,Aphelios,Isurus,Gavotto
2022-10-01,12.18,Istanbul Wildcats,DRX,DRX,Camille,Kalista,Istanbul Wildcats,HolyPhoenix
2022-10-01,12.18,DRX,Saigon Buffalo,DRX,Miss Fortune,Ezreal,DRX,Deft
2022-09-30,12.18,DRX,Royal Never Give Up,DRX,Aphelios,Tristana,DRX,Deft
2022-10-30,12.18,JD Gaming,T1,T1,Tahm Kench,Jhin,JD Gaming,Hope
2022-10-29,12.18,JD Gaming,T1,T1,Lee Sin,Aphelios,JD Gaming,Hope
2022-10-29,12.18,T1,JD Gaming,T1,Vi,Lucian,T1,Gumayusi
2022-10-29,12.18,T1,JD Gaming,JD Gaming,Ornn,Lucian,T1,Gumayusi
2022-10-21,12.18,Royal Never Give Up,T1,T1,Renata Glasc,Aphelios,Royal Never Give Up,GALA
2022-10-21,12.18,Royal Never Give Up,T1,T1,Lucian,Kai'Sa,Royal Never Give Up,GALA
2022-10-21,12.18,T1,Royal Never Give Up,T1,Galio,Ashe,T1,Gumayusi
2022-10-13,12.18,EDward Gaming,T1,T1,Renata Glasc,Aphelios,EDward Gaming,Viper
2022-10-13,12.18,T1,Cloud9,T1,Alistar,Lucian,T1,Gumayusi
2022-10-13,12.18,T1,Fnatic,T1,LeBlanc,Sivir,T1,Gumayusi
2022-10-10,12.18,Cloud9,T1,T1,Thresh,Tristana,Cloud9,Berserker
2022-10-08,12.18,Fnatic,T1,Fnatic,Trundle,Lucian,Fnatic,Upset
2022-10-08,12.18,T1,EDward Gaming,T1,Renekton,Sivir,T1,Gumayusi
2022-10-31,12.18,Gen.G,DRX,DRX,Karma,Nautilus,Gen.G,Lehends
2022-10-30,12.18,Gen.G,DRX,DRX,Gragas,Karma,Gen.G,Lehends
2022-10-30,12.18,DRX,Gen.G,DRX,Camille,Lux,DRX,BeryL
2022-10-30,12.18,Gen.G,DRX,Gen.G,Karma,Tahm Kench,Gen.G,Lehends
2022-10-24,12.18,EDward Gaming,DRX,DRX,Varus,Lulu,EDward Gaming,Meiko
2022-10-24,12.18,EDward Gaming,DRX,DRX,Soraka,Renata Glasc,EDward Gaming,Meiko
2022-10-23,12.18,DRX,EDward Gaming,DRX,Lulu,Soraka,DRX,BeryL
2022-10-23,12.18,DRX,EDward Gaming,EDward Gaming,Soraka,Heimerdinger,DRX,BeryL
2022-10-23,12.18,DRX,EDward Gaming,EDward Gaming,Ezreal,Heimerdinger,DRX,BeryL
2022-10-16,12.18,DRX,Rogue (European Team),DRX,Jarvan IV,Lux,DRX,BeryL
2022-10-16,12.18,Top Esports,DRX,Top Esports,Kalista,Nami,Top Esports,Mark
2022-10-15,12.18,DRX,GAM Esports,DRX,Graves,Heimerdinger,DRX,BeryL
2022-10-15,12.18,DRX,Rogue (European Team),DRX,Soraka,Heimerdinger,DRX,BeryL
2022-10-11,12.18,GAM Esports,DRX,DRX,Aphelios,Leona,GAM Esports,Bie
2022-10-10,12.18,DRX,Top Esports,DRX,Lee Sin,Braum,DRX,BeryL
2022-10-08,12.18,Rogue (European Team),DRX,Rogue (European Team),Nautilus,Nami,Rogue (European Team),Trymbi
2022-10-03,12.18,DRX,MAD Lions,DRX,Gwen,Yuumi,DRX,BeryL
2022-10-02,12.18,Isurus,DRX,DRX,Gwen,Alistar,Isurus,Jelly
2022-10-01,12.18,Istanbul Wildcats,DRX,DRX,Alistar,Leona,Istanbul Wildcats,Farfetch
2022-10-01,12.18,DRX,Saigon Buffalo,DRX,Nautilus,Tahm Kench,DRX,BeryL
2022-09-30,12.18,DRX,Royal Never Give Up,DRX,Kai'Sa,Rell,DRX,BeryL
2022-10-30,12.18,JD Gaming,T1,T1,Fiora,Karma,JD Gaming,Missing
